Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1072.97,-1397.91,2406.20,-67.65,17064.05
Depreciation/Depletion,1158.99,1783.66,2369.57,2405.64,2717.55
Non-Cash Items,655.64,-60.89,898.03,624.68,530.80
Cash Taxes Paid,70.98,395.81,500.76,254.28,205.66
Changes in Working Capital,-10992.49,3650.83,4972.07,-1467.34,-9440.99
Cash from Operating Activities,-10214.60,4044.41,10722.10,1575.97,10955.24
Capital Expenditures,-2294.48,-3166.77,-2964.41,-4003.67,-2494.58
"Other Investing Cash Flow Items, Total",-48.80,-2074.20,454.21,81.75,156.18
Cash from Investing Activities,-2343.28,-5240.97,-2510.20,-3921.92,-2338.40
Total Cash Dividends Paid,-512.00,-506.13,-391.72,-614.37,-1304.60
"Issuance (Retirement) of Stock, Net",0,2556.96,0,0,0
Cash from Financing Activities,12035.27,1871.84,-6027.84,783.96,15459.35
Foreign Exchange Effects,0,-108.01,-166.80,-315.35,-11.33
Net Change in Cash,-522.62,567.28,2017.26,-1877.34,24064.86
