Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-71.31,3.50,2.77,-37.66,3.94
Depreciation/Depletion,4.75,5.74,4.50,2.87,2.77
Non-Cash Items,47.77,4.25,5.11,18.81,-4.41
Cash Taxes Paid,0.64,2.14,2.96,0.13,1.20
Changes in Working Capital,6.55,-51.59,-33.10,21.44,18.60
Cash from Operating Activities,-12.23,-38.11,-20.72,5.45,20.90
Capital Expenditures,-3.19,-2.33,-0.59,-0.27,-0.25
"Other Investing Cash Flow Items, Total",1.82,9.18,-2.74,-2.80,0.52
Cash from Investing Activities,-1.38,6.84,-3.33,-3.07,0.27
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,2.56,24.20,21.34,-4.19,-18.80
Foreign Exchange Effects,1.49,-0.26,-0.00,0.01,0.00
Net Change in Cash,-9.56,-7.33,-2.71,-1.81,2.38
