Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,49.54,34.66,27.79,0,0
Short Term Investments,18.94,14.50,14.78,0,0
Cash and Short Term Investments,68.48,49.16,42.58,34.69,33.96
"Accounts Receivable - Trade, Net",41.02,34.44,46.80,70.14,58.60
"Total Receivables, Net",68.30,66.69,57.55,70.14,58.60
Prepaid Expenses,1.69,2.82,1.96,0,0
"Other Current Assets, Total",7.75,4.82,5.92,0,0
Total Current Assets,193.22,166.41,178.16,153.07,128.40
"Property/Plant/Equipment, Total - Gross",203.98,197.20,220.71,0,0
"Accumulated Depreciation, Total",-105.69,-100.80,-116.34,0,0
"Property/Plant/Equipment, Total - Net",98.29,96.40,104.36,106.62,91.57
"Goodwill, Net",22.12,22.12,22.12,0,0
"Intangibles, Net",7.48,5.67,4.36,23.87,24.37
Long Term Investments,9.24,23.64,18.48,19.07,18.36
Total Assets,333.80,316.09,330.51,304.67,264.97
Accounts Payable,35.02,30.26,37.85,0,0
Accrued Expenses,6.58,8.30,8.64,0,0
Notes Payable/Short Term Debt,19.42,21.15,39.93,0.00,0.00
"Other Current liabilities, Total",5.67,8.50,2.51,1.62,0.74
Total Current Liabilities,68.52,74.28,95.57,85.70,61.20
Total Long Term Debt,28.15,22.37,20.63,29.04,16.72
Total Debt,49.40,49.60,67.19,71.31,38.52
Deferred Income Tax,2.91,1.24,1.41,1.25,1.34
"Other Liabilities, Total",0.45,0.40,0.56,1.40,0.91
Total Liabilities,155.01,147.50,166.08,160.44,121.50
"Common Stock, Total",132.10,132.10,132.10,132.10,132.10
Retained Earnings (Accumulated Deficit),58.70,42.30,39.63,12.13,11.37
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0.14,0.14,0.00,0,0
"Other Equity, Total",-12.15,-5.95,-7.30,0,0
Total Equity,178.79,168.59,164.43,144.23,143.47
Total Liabilities & Shareholders' Equity,333.80,316.09,330.51,304.67,264.97
Total Common Shares Outstanding,439.43,439.42,439.43,439.42,439.43
"Tangible Book Value per Share, Common Eq",0.34,0.32,0.31,0.27,0.27
