Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-33.61,-323.09,-344.34,-614.94,-505.93
Depreciation/Depletion,150.61,66.49,50.87,48.35,29.14
Non-Cash Items,74.77,352.33,315.28,588.25,465.42
Cash Taxes Paid,2.91,2.81,2.50,2.25,2.74
Changes in Working Capital,-46.09,-33.11,-12.00,6.00,10.81
Cash from Operating Activities,145.69,62.62,9.81,27.66,-0.57
Capital Expenditures,-67.54,-55.00,-65.35,-14.85,-6.15
"Other Investing Cash Flow Items, Total",-3.96,-15.58,-102.79,10.77,67.32
Cash from Investing Activities,-71.50,-70.57,-168.14,-4.08,61.17
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",99.84,0.00,15.25,0.00,0.00
Cash from Financing Activities,-84.48,-153.06,162.68,-28.02,-44.14
Foreign Exchange Effects,-14.51,2.54,-1.79,-1.40,-2.06
Net Change in Cash,-24.80,-158.48,2.56,-5.83,14.40
