Fiscal Year,2015,2016,2016.1,2017,2018
Period Ended,31 Mar 2015,31 Mar 2016,30 Jun 2016,30 Jun 2017,30 Jun 2018
Source,ARS,Interim Report,ARS,ARS,ARS
Net Income/Starting Line,30.86,64.31,59.81,-173.79,-93.45
Depreciation/Depletion,14.00,25.15,33.57,26.25,30.44
Non-Cash Items,-10.42,-55.95,-38.12,165.00,68.82
Cash Taxes Paid,0.66,0.56,0.96,-0.04,0.00
Changes in Working Capital,16.08,84.58,71.58,-2.59,-0.64
Cash from Operating Activities,50.51,118.08,126.83,14.87,5.17
Capital Expenditures,-52.55,-8.40,-7.78,-2.16,-4.16
"Other Investing Cash Flow Items, Total",-98.88,-2.02,-4.87,15.18,7.10
Cash from Investing Activities,-151.42,-10.42,-12.65,13.02,2.94
Total Cash Dividends Paid,-9.63,-26.25,-26.25,0,0
"Issuance (Retirement) of Stock, Net",-2.02,0.00,-0.26,-0.10,1.48
Cash from Financing Activities,158.57,-176.12,-185.58,-42.83,-9.07
Foreign Exchange Effects,-1.14,0.91,-1.37,0.10,0.08
Net Change in Cash,56.52,-67.55,-72.76,-14.84,-0.88
