Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-9.99,-9.88,0.94,2.91,7.53
Depreciation/Depletion,31.39,31.13,30.33,29.65,32.57
Non-Cash Items,15.55,11.68,0.72,7.60,11.71
Cash Taxes Paid,3.85,2.22,1.08,1.41,2.57
Changes in Working Capital,-9.31,-4.95,-8.10,-7.62,2.66
Cash from Operating Activities,27.65,27.99,23.90,32.54,54.48
Capital Expenditures,-25.94,-8.56,-4.57,-22.62,-5.92
"Other Investing Cash Flow Items, Total",3.33,5.15,5.76,2.34,1.12
Cash from Investing Activities,-22.61,-3.41,1.20,-20.28,-4.80
Total Cash Dividends Paid,-1.86,-0.46,0,0,-0.46
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-11.49,-27.34,-24.98,-7.31,-24.61
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-6.45,-2.76,0.11,4.95,25.06
