Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,139.44,114.79,97.68,117.23,124.69
Total Revenue,139.44,114.79,97.68,117.23,124.69
"Selling/General/Admin. Expenses, Total",1.76,1.44,1.30,1.24,1.12
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-1.95,-1.94,-1.91,1.34,3.52
"Other Operating Expenses, Total",38.22,30.52,20.99,24.12,22.35
Total Operating Expense,148.12,122.25,92.68,108.88,108.71
Operating Income,-8.69,-7.45,5.00,8.34,15.98
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-3.65,-2.53,-3.75
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-8.69,-7.45,1.35,5.82,12.23
Provision for Income Taxes,1.30,2.43,0.41,2.91,4.70
Net Income After Taxes,-9.99,-9.88,0.94,2.91,7.53
Net Income Before Extra. Items,-9.67,-9.64,1.20,2.95,7.58
Net Income,-9.67,-9.64,1.20,2.95,7.58
Income Available to Com Excl ExtraOrd,-9.67,-9.64,1.20,2.95,7.58
Income Available to Com Incl ExtraOrd,-9.67,-9.64,1.20,2.95,7.58
Diluted Net Income,-9.67,-9.64,1.20,2.95,7.58
Diluted Weighted Average Shares,232.24,232.24,232.24,232.24,232.24
Diluted EPS Excluding ExtraOrd Items,-0.04,-0.04,0.01,0.01,0.03
DPS - Common Stock Primary Issue,0.00,0,0.00,0.00,0.00
Diluted Normalised EPS,-0.05,-0.05,-0.00,0.02,0.04
