Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,2.52,0,0
Short Term Investments,4.46,5.88,4.60,4.14,3.71
Cash and Short Term Investments,10.39,12.12,7.34,8.35,8.05
"Accounts Receivable - Trade, Net",3.62,8.73,2.63,8.10,9.25
"Total Receivables, Net",3.62,8.73,5.67,8.10,9.25
Prepaid Expenses,0,0,0.93,0,0
"Other Current Assets, Total",0.00,0,0.87,0,0
Total Current Assets,14.08,21.68,16.22,17.61,18.23
"Property/Plant/Equipment, Total - Gross",0,0,10.41,0,0
"Accumulated Depreciation, Total",0,0,-3.18,0,0
"Property/Plant/Equipment, Total - Net",3.08,7.13,7.23,8.26,6.07
"Goodwill, Net",0,0,11.61,0,0
"Intangibles, Net",0.94,5.49,7.23,19.02,6.65
Long Term Investments,3.43,10.09,22.96,22.33,16.04
Total Assets,22.01,46.09,67.55,70.12,50.22
Accounts Payable,0,0,0.82,0,0
Accrued Expenses,0,0,0.81,0,0
Notes Payable/Short Term Debt,0.00,1.51,1.89,4.25,5.05
"Other Current liabilities, Total",3.71,5.90,4.07,3.19,3.04
Total Current Liabilities,6.73,13.20,8.09,12.85,13.25
Total Long Term Debt,1.90,2.94,3.32,2.83,2.35
Total Debt,1.90,5.41,5.72,8.60,8.56
Deferred Income Tax,0.03,0.47,1.32,1.20,0.10
"Other Liabilities, Total",0.14,0.07,0.68,1.53,1.88
Total Liabilities,9.45,17.45,14.57,19.22,18.20
"Common Stock, Total",25.02,37.17,64.41,66.20,70.01
Retained Earnings (Accumulated Deficit),-12.46,-8.39,-11.22,-14.83,-37.31
Treasury Stock - Common,0,-0.13,-0.20,-0.47,-0.68
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.00,0,0,0,0
Total Equity,12.56,28.64,52.98,50.91,32.02
Total Liabilities & Shareholders' Equity,22.01,46.09,67.55,70.12,50.22
Total Common Shares Outstanding,398.77,515.47,1037.17,1205.61,1901.66
"Tangible Book Value per Share, Common Eq",0.03,0.04,0.03,0.03,0.01
