Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,14.34,12.72,5.65,0.68,3.96
Depreciation/Depletion,2.82,2.80,3.43,3.46,4.18
Non-Cash Items,-1.32,-0.80,2.39,1.42,0.46
Cash Taxes Paid,0.44,1.93,1.68,0.95,0.55
Changes in Working Capital,12.35,2.77,-13.99,-5.81,10.07
Cash from Operating Activities,28.26,17.49,-2.50,-0.22,18.69
Capital Expenditures,-1.99,-2.97,-1.59,-2.32,-9.77
"Other Investing Cash Flow Items, Total",-0.04,2.80,-35.40,-0.94,9.47
Cash from Investing Activities,-2.02,-0.17,-36.99,-3.26,-0.30
Total Cash Dividends Paid,-4.63,-4.63,-6.17,-3.08,-2.15
"Issuance (Retirement) of Stock, Net",0,0,0,0,-0.23
Cash from Financing Activities,-5.64,-5.88,27.13,-6.15,-4.22
Foreign Exchange Effects,0,0.00,0.05,-0.05,0.24
Net Change in Cash,20.60,11.44,-12.32,-9.68,14.41
