Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,111.10,117.53,90.45,81.40,69.63
Total Revenue,111.10,117.53,90.45,81.40,69.63
"Selling/General/Admin. Expenses, Total",10.84,9.50,8.55,10.02,12.12
Depreciation/Amortisation,0,0.47,0.45,0,0
Unusual Expense (Income),-0.04,-0.01,-0.06,-0.08,-1.26
"Other Operating Expenses, Total",-1.90,-0.24,-0.57,-1.87,-8.87
Total Operating Expense,97.55,104.99,82.62,78.03,63.66
Operating Income,13.55,12.54,7.83,3.37,5.96
"Interest Inc.(Exp.),Net-Non-Op., Total",2.96,2.44,-1.25,-2.33,-1.53
"Other, Net",0,0,0,0,0
Net Income Before Taxes,16.51,14.99,6.57,1.04,4.43
Provision for Income Taxes,2.17,2.27,0.92,0.36,0.48
Net Income After Taxes,14.34,12.72,5.65,0.68,3.96
Net Income Before Extra. Items,14.34,12.72,6.49,-0.38,3.29
Net Income,14.34,12.72,6.49,-0.38,3.29
Income Available to Com Excl ExtraOrd,14.34,12.72,6.49,-0.38,3.29
Income Available to Com Incl ExtraOrd,14.34,12.72,6.49,-0.38,3.29
Diluted Net Income,14.34,12.72,6.49,-0.38,3.29
Diluted Weighted Average Shares,308.43,308.43,308.43,308.43,307.47
Diluted EPS Excluding ExtraOrd Items,0.05,0.04,0.02,-0.00,0.01
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.01,0.01
Diluted Normalised EPS,0.05,0.04,0.02,-0.00,0.01
