Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,69875.55,69869.19,-4462.85,-39060.85,-8687.06
Depreciation/Depletion,17922.75,21586.50,20630.35,20038.65,19965.25
Non-Cash Items,-11013.00,6368.75,-13354.55,-3607.56,8126.90
Cash Taxes Paid,17453.57,3738.22,20015.81,5025.06,-14814.39
Changes in Working Capital,28191.54,-8842.55,-61106.34,53430.13,4339.25
Cash from Operating Activities,104976.85,88981.89,-58293.39,30800.37,23744.34
Capital Expenditures,-21329.79,-28026.05,-27214.41,-46604.28,-40511.48
"Other Investing Cash Flow Items, Total",489.47,-1601.49,1233.35,-583.26,-75250.78
Cash from Investing Activities,-20840.33,-29627.55,-25981.07,-47187.54,-115762.26
Total Cash Dividends Paid,-7950.40,-56804.38,-20515.93,0.00,0
"Issuance (Retirement) of Stock, Net",-10246.92,-11880.32,-633.45,-826.42,0.00
Cash from Financing Activities,-19559.98,-69059.79,-23055.56,-2533.56,-1731.94
Foreign Exchange Effects,-11139.96,19607.07,13576.43,-7049.13,4481.78
Net Change in Cash,53436.58,9901.61,-93753.59,-25969.86,-89268.07
