Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,Annual Audited Accounts,Annual Audited Accounts,Annual Audited Accounts,Annual Audited Accounts,Annual Audited Accounts
Revenue,1873986.00,2336240.00,2668353.00,2467891.00,2497159.00
Total Revenue,1873986.00,2336240.00,2668353.00,2467891.00,2497159.00
"Selling/General/Admin. Expenses, Total",53663.00,67305.00,72543.00,77753.00,78721.00
Depreciation/Amortisation,2041.00,1835.00,1599.00,0,0
Unusual Expense (Income),22453.00,13823.00,2116.00,3736.00,82254.00
"Other Operating Expenses, Total",0,0,0,0,0
Total Operating Expense,1728538.00,2155040.00,2466533.00,2261608.00,2354201.00
Operating Income,145448.00,181200.00,201820.00,206283.00,142958.00
"Interest Inc.(Exp.),Net-Non-Op., Total",-38425.00,-40885.00,-56006.00,-48924.00,-50240.00
"Other, Net",-3550.00,4559.00,815.00,-8246.00,6557.00
Net Income Before Taxes,99137.00,143174.00,148994.00,148265.00,91956.00
Provision for Income Taxes,2048.00,1899.00,349.00,538.00,1234.00
Net Income After Taxes,97089.00,141275.00,148645.00,147727.00,90722.00
Net Income Before Extra. Items,97879.00,143057.00,152410.00,151880.00,92529.00
Net Income,97879.00,143057.00,152410.00,151880.00,92529.00
Income Available to Com Excl ExtraOrd,97878.87,143057.13,152410.00,151880.00,92529.00
Income Available to Com Incl ExtraOrd,97878.87,143057.13,152410.00,151880.00,92529.00
Diluted Net Income,97878.87,143057.13,152410.00,151880.00,92529.00
Diluted Weighted Average Shares,531.49,534.47,534.55,534.79,534.57
Diluted EPS Excluding ExtraOrd Items,184.16,267.66,285.12,284.00,173.09
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,50.00
Diluted Normalised EPS,233.52,296.32,284.65,292.54,338.40
