Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,Annual Audited Accounts,Annual Audited Accounts,Annual Audited Accounts,Annual Audited Accounts,Annual Audited Accounts
Net Income/Starting Line,97089.00,141275.00,148645.00,147727.00,90722.00
Depreciation/Depletion,168312.00,166741.00,166971.00,201433.00,226232.00
Non-Cash Items,65158.00,50398.00,64270.00,69038.00,146160.00
Cash Taxes Paid,1134.00,959.00,1285.00,379.00,1111.00
Changes in Working Capital,-80290.00,-98023.00,-113215.00,-14822.00,5737.00
Cash from Operating Activities,250956.00,261613.00,268073.00,404778.00,470284.00
Capital Expenditures,-99399.00,-106482.00,-165445.00,-217004.00,-289536.00
"Other Investing Cash Flow Items, Total",7001.00,-10685.00,38893.00,4007.00,-47336.00
Cash from Investing Activities,-92398.00,-117167.00,-126552.00,-212997.00,-336872.00
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,0
Cash from Financing Activities,-197949.00,-155024.00,-149141.00,-152020.00,-138989.00
Foreign Exchange Effects,6313.00,-26864.00,8686.00,6839.00,-12177.00
Net Change in Cash,-33078.00,-37442.00,1066.00,46600.00,-17754.00
