Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,18.30,15.88,7.15,9.24,21.77
Total Revenue,18.30,15.88,7.15,9.24,21.77
"Selling/General/Admin. Expenses, Total",3.53,5.12,4.44,3.17,2.48
Depreciation/Amortisation,1.70,1.80,1.79,1.46,1.07
Unusual Expense (Income),-0.04,-0.01,0.00,-0.00,0.00
"Other Operating Expenses, Total",2.28,0.60,0.50,1.65,1.37
Total Operating Expense,28.69,15.33,10.97,11.22,14.71
Operating Income,-10.39,0.54,-3.82,-1.97,7.07
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.33,-0.43,-0.41,-0.39,-0.33
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-10.71,0.11,-4.23,-2.36,6.73
Provision for Income Taxes,1.00,0.01,0.02,0.02,-2.40
Net Income After Taxes,-11.72,0.11,-4.24,-2.38,9.13
Net Income Before Extra. Items,-11.72,0.11,-4.24,-2.38,9.13
Net Income,-11.72,0.11,-4.24,-2.38,9.13
Income Available to Com Excl ExtraOrd,-11.72,0.11,-4.24,-2.38,9.13
Income Available to Com Incl ExtraOrd,-11.72,0.11,-4.24,-2.38,9.13
Diluted Net Income,-11.72,0.11,-4.24,-2.38,9.13
Diluted Weighted Average Shares,250.00,248.15,243.78,242.30,262.44
Diluted EPS Excluding ExtraOrd Items,-0.05,0.00,-0.02,-0.01,0.03
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.01
Diluted Normalised EPS,-0.05,0.00,-0.02,-0.01,0.03
