Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,1071.67,1147.92,837.48,383.99,766.68
Short Term Investments,145.31,186.65,0.25,5.26,5.75
Cash and Short Term Investments,1216.97,1334.57,837.72,389.25,772.43
"Accounts Receivable - Trade, Net",408.36,1124.21,1397.93,1840.88,1969.50
"Total Receivables, Net",478.22,1213.82,1664.80,1913.05,2055.63
Prepaid Expenses,19.73,89.10,31.79,41.05,127.80
"Other Current Assets, Total",236.51,2359.17,345.82,108.65,90.25
Total Current Assets,5018.31,5092.43,2960.31,2565.10,3140.46
"Property/Plant/Equipment, Total - Gross",5245.79,5404.64,5759.11,6224.60,6277.03
"Accumulated Depreciation, Total",-1259.12,-1409.62,-1579.86,-1720.32,-1911.10
"Property/Plant/Equipment, Total - Net",3986.67,3995.02,4179.26,4504.28,4365.94
"Goodwill, Net",11.16,11.16,11.16,11.98,11.95
"Intangibles, Net",190.97,168.04,197.78,234.36,209.05
Long Term Investments,142.60,114.12,69.41,26.23,19.99
Total Assets,9414.83,9691.83,8577.26,8458.77,8970.22
Accounts Payable,2054.35,1555.24,1486.55,1273.10,1003.37
Accrued Expenses,35.42,29.81,28.18,25.54,17.14
Notes Payable/Short Term Debt,0.00,0.47,0.48,50.00,0.00
"Other Current liabilities, Total",294.55,1208.90,192.03,130.45,235.85
Total Current Liabilities,3748.28,3646.69,2762.73,2874.69,3399.85
Total Long Term Debt,2791.01,3247.39,3173.45,3233.29,1697.87
Total Debt,4154.98,4100.12,4229.43,4678.89,3841.36
Deferred Income Tax,85.67,61.55,52.81,28.99,26.85
"Other Liabilities, Total",182.24,256.03,239.84,115.03,149.50
Total Liabilities,6852.84,7252.85,6265.58,6285.46,5302.83
"Common Stock, Total",484.29,484.29,484.29,486.22,2575.37
Retained Earnings (Accumulated Deficit),2004.15,1944.49,1840.73,1705.89,1122.74
Treasury Stock - Common,-0.57,-3.45,-2.15,-0.77,-0.77
Unrealised Gain (Loss),1.96,0.45,0.00,0,0
"Other Equity, Total",72.16,13.21,-11.18,-18.02,-29.94
Total Equity,2561.99,2438.98,2311.68,2173.31,3667.40
Total Liabilities & Shareholders' Equity,9414.83,9691.83,8577.26,8458.77,8970.22
Total Common Shares Outstanding,3250.05,3247.85,3248.93,3251.86,12555.65
"Tangible Book Value per Share, Common Eq",0.73,0.70,0.65,0.59,0.27
