Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,25.62,21.17,22.63,20.31,17.42
Total Revenue,25.62,21.17,22.63,20.31,17.42
"Selling/General/Admin. Expenses, Total",8.04,6.35,6.32,4.65,4.66
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.02,0.00,0,0,0
"Other Operating Expenses, Total",-0.57,-0.73,-1.80,-0.98,-0.83
Total Operating Expense,29.35,22.98,22.80,19.51,17.35
Operating Income,-3.74,-1.81,-0.18,0.80,0.06
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.29,-0.28,-0.30,-0.27,-0.32
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-4.02,-2.09,-0.47,0.53,-0.26
Provision for Income Taxes,-0.04,0.01,0.34,0.24,0.45
Net Income After Taxes,-3.99,-2.10,-0.81,0.29,-0.70
Net Income Before Extra. Items,-3.99,-2.10,-0.81,0.29,-0.70
Net Income,-3.99,-2.10,-0.81,0.29,-0.70
Income Available to Com Excl ExtraOrd,-3.99,-2.10,-0.81,0.29,-0.70
Income Available to Com Incl ExtraOrd,-3.99,-2.10,-0.81,0.29,-0.70
Diluted Net Income,-3.99,-2.10,-0.81,0.29,-0.70
Diluted Weighted Average Shares,165.97,165.97,161.17,201.54,201.54
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.01,-0.01,0.00,-0.00
DPS - Common Stock Primary Issue,0.00,0,0,0,0
Diluted Normalised EPS,-0.02,-0.01,-0.01,0.00,-0.00
