Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,6 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,24.78,101.07,67.10,29.64,37.38
Total Revenue,24.78,101.07,67.10,29.64,37.38
"Selling/General/Admin. Expenses, Total",7.75,12.30,11.83,9.15,12.54
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),6.15,6.28,-14.03,0.00,2.10
"Other Operating Expenses, Total",0.10,-0.23,-0.34,-0.46,-0.61
Total Operating Expense,29.99,86.66,52.12,21.98,41.00
Operating Income,-5.21,14.41,14.97,7.66,-3.63
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-1.19,-1.15,-0.13,-0.54
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-5.21,13.22,13.82,7.53,-4.16
Provision for Income Taxes,-1.13,8.16,4.66,5.99,0.82
Net Income After Taxes,-4.08,5.06,9.16,1.54,-4.98
Net Income Before Extra. Items,-4.08,5.06,9.16,1.54,-3.57
Net Income,-4.08,5.06,9.16,1.54,-3.57
Income Available to Com Excl ExtraOrd,-4.08,5.06,9.16,1.54,-3.57
Income Available to Com Incl ExtraOrd,-4.08,5.06,9.16,1.54,-3.57
Diluted Net Income,-4.08,5.06,9.16,1.54,-3.57
Diluted Weighted Average Shares,144.73,144.73,144.73,144.73,144.73
Diluted EPS Excluding ExtraOrd Items,-0.03,0.03,0.06,0.01,-0.02
DPS - Common Stock Primary Issue,0.00,0.02,0.15,0.16,0
Diluted Normalised EPS,-0.00,0.06,0.00,0.01,-0.02
