Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-5.21,13.22,13.82,7.53,-4.16
Depreciation/Depletion,0.17,0.14,0.04,0.01,1.24
Non-Cash Items,0.29,0.27,-9.05,-3.44,-0.11
Cash Taxes Paid,0.87,32.12,0.44,6.22,1.17
Changes in Working Capital,14.06,26.77,35.12,11.15,6.56
Cash from Operating Activities,9.31,40.39,39.93,15.26,3.52
Capital Expenditures,-0.01,0.00,-0.03,-0.00,-1.73
"Other Investing Cash Flow Items, Total",0,0.00,5.17,-11.51,4.07
Cash from Investing Activities,-0.01,0.00,5.14,-11.51,2.34
Total Cash Dividends Paid,0,0.00,-3.47,-21.62,-21.94
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-20.47,23.05,-35.75,-19.39,-18.02
Foreign Exchange Effects,-0.16,0.06,0.74,2.24,-3.80
Net Change in Cash,-11.33,63.50,10.05,-13.40,-15.95
