Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,6.54,14.12,-2.32,16.83,-31.37
Depreciation/Depletion,113.71,104.97,103.48,173.07,178.15
Non-Cash Items,123.63,129.69,132.02,100.38,185.07
Cash Taxes Paid,8.55,5.43,3.22,19.72,13.35
Changes in Working Capital,-159.70,-166.56,-52.71,66.13,13.69
Cash from Operating Activities,84.17,82.22,180.48,356.40,345.53
Capital Expenditures,-0.95,-1.73,-8.50,-33.41,-29.00
"Other Investing Cash Flow Items, Total",-18.49,4.99,5.41,-676.85,-7.13
Cash from Investing Activities,-19.44,3.27,-3.09,-710.26,-36.12
Total Cash Dividends Paid,-143.48,-143.49,-143.52,-165.48,-139.27
"Issuance (Retirement) of Stock, Net",0,0,0,492.24,-1.94
Cash from Financing Activities,-50.23,-135.70,-161.96,619.57,-206.31
Foreign Exchange Effects,-0.05,-0.09,0.08,-0.14,7.55
Net Change in Cash,14.45,-50.31,15.50,265.59,110.65
