Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,581.12,632.48,637.39,1566.72,1551.90
Total Revenue,581.12,632.48,637.39,1566.72,1551.90
"Selling/General/Admin. Expenses, Total",105.52,92.19,87.60,121.01,107.85
Depreciation/Amortisation,113.71,104.97,103.48,173.07,178.15
Unusual Expense (Income),0,0,0,-44.80,12.97
"Other Operating Expenses, Total",17.55,45.94,40.31,130.17,155.72
Total Operating Expense,451.20,488.93,508.24,1404.12,1443.69
Operating Income,129.92,143.55,129.14,162.60,108.21
"Interest Inc.(Exp.),Net-Non-Op., Total",-120.68,-126.88,-128.96,-133.34,-124.33
"Other, Net",-2.71,-2.55,-2.50,-12.43,-15.25
Net Income Before Taxes,6.54,14.12,-2.32,16.83,-31.37
Provision for Income Taxes,0.42,0.34,0.04,6.64,20.79
Net Income After Taxes,6.12,13.78,-2.36,10.19,-52.16
Net Income Before Extra. Items,41.19,47.61,32.02,46.34,-20.16
Net Income,41.19,47.61,32.02,46.34,-20.16
Income Available to Com Excl ExtraOrd,41.19,47.61,32.02,38.58,-34.45
Income Available to Com Incl ExtraOrd,41.19,47.61,32.02,38.58,-34.45
Diluted Net Income,41.19,47.61,32.02,38.58,-34.45
Diluted Weighted Average Shares,3905.67,3905.96,3906.76,4708.58,4991.43
Diluted EPS Excluding ExtraOrd Items,0.01,0.01,0.01,0.01,-0.01
DPS - Common Stock Primary Issue,0.04,0.04,0.04,0.03,0.04
Diluted Normalised EPS,0.01,0.01,0.01,0.00,-0.01
