Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,2.05,3.45,5.44,4.17,4.34
Depreciation/Depletion,1.53,1.01,0.98,1.08,1.26
Non-Cash Items,-8.79,-0.46,2.99,6.86,-2.01
Cash Taxes Paid,0.73,0.03,0.08,0.01,1.00
Changes in Working Capital,22.79,0.16,-8.07,-12.47,-52.87
Cash from Operating Activities,17.59,4.16,1.35,-0.36,-49.28
Capital Expenditures,-2.00,-3.44,-6.98,-1.98,-1.21
"Other Investing Cash Flow Items, Total",0.00,0.62,0.76,1.47,3.92
Cash from Investing Activities,-2.00,-2.82,-6.22,-0.52,2.71
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-17.44,3.38,4.56,-3.09,51.48
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-1.85,4.73,-0.32,-3.96,4.91
