Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,88.18,88.82,121.87,99.99,174.52
Total Revenue,88.18,88.82,121.87,99.99,174.52
"Selling/General/Admin. Expenses, Total",20.94,17.11,20.00,17.65,20.64
Depreciation/Amortisation,1.08,1.01,0,0,0
Unusual Expense (Income),0.00,0,0,0,0
"Other Operating Expenses, Total",-3.86,-0.93,-0.68,-1.99,-3.47
Total Operating Expense,86.13,85.37,112.98,89.53,169.39
Operating Income,2.05,3.45,8.89,10.47,5.12
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-3.45,-6.30,-0.78
"Other, Net",0,0,0,0,0
Net Income Before Taxes,2.05,3.45,5.44,4.17,4.34
Provision for Income Taxes,0.73,0.03,0.08,0.01,1.00
Net Income After Taxes,1.32,3.42,5.36,4.16,3.35
Net Income Before Extra. Items,1.32,3.42,5.36,4.16,3.35
Net Income,1.32,3.42,5.36,4.16,3.35
Income Available to Com Excl ExtraOrd,1.32,3.42,5.36,4.16,3.35
Income Available to Com Incl ExtraOrd,1.32,3.42,5.36,4.16,3.35
Diluted Net Income,1.32,3.42,5.36,4.16,3.35
Diluted Weighted Average Shares,1055.46,1055.46,1055.46,1055.46,1055.46
Diluted EPS Excluding ExtraOrd Items,0.00,0.00,0.01,0.00,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.00,0.00,0.01,0.01,0.00
