Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,17.23,4.20,-27.30,-24.22,-109.59
Depreciation/Depletion,20.90,19.34,18.20,19.12,14.51
Non-Cash Items,-2.79,-1.99,-1.20,4.66,83.99
Cash Taxes Paid,3.66,1.41,0.69,0.37,0.62
Changes in Working Capital,14.90,-12.08,20.07,-3.13,4.92
Cash from Operating Activities,52.42,11.31,9.88,-3.51,-6.14
Capital Expenditures,-5.38,-3.14,-7.55,-1.52,-10.66
"Other Investing Cash Flow Items, Total",-20.81,11.58,-18.32,5.94,32.98
Cash from Investing Activities,-26.20,8.44,-25.87,4.42,22.32
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-21.39,-13.49,-15.83,-15.11,-0.96
Foreign Exchange Effects,-0.43,0.62,-0.39,0.20,0.04
Net Change in Cash,4.41,6.88,-32.21,-13.99,15.26
