Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,27.95,0.00,18.04,12.21,9.71
Cash and Short Term Investments,89.77,68.69,54.52,34.70,47.47
"Accounts Receivable - Trade, Net",65.26,62.15,35.92,34.76,23.13
"Total Receivables, Net",78.99,69.63,41.84,52.83,35.30
Prepaid Expenses,1.74,1.56,1.15,0.58,0
"Other Current Assets, Total",1.70,0.00,0,0,0
Total Current Assets,174.07,141.80,98.90,88.73,83.12
"Property/Plant/Equipment, Total - Gross",508.78,512.56,427.59,418.07,419.11
"Accumulated Depreciation, Total",-310.59,-329.69,-258.16,-272.86,-275.54
"Property/Plant/Equipment, Total - Net",198.19,182.87,169.43,145.21,143.57
"Goodwill, Net",2.07,2.07,2.07,2.07,0.00
"Intangibles, Net",0.23,0.12,0.11,0.06,0.01
Long Term Investments,86.94,91.52,122.13,124.48,24.47
Total Assets,472.09,451.13,409.59,374.05,260.51
Accounts Payable,5.76,4.79,5.20,8.25,22.44
Accrued Expenses,18.99,15.25,14.09,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.24,0.00
"Other Current liabilities, Total",16.88,6.91,5.10,20.71,0.51
Total Current Liabilities,51.54,38.88,40.32,41.16,36.70
Total Long Term Debt,79.62,67.82,51.88,43.85,44.09
Total Debt,89.52,79.75,67.81,56.04,57.84
Deferred Income Tax,0.00,0,0,0,0
"Other Liabilities, Total",2.69,2.24,2.50,2.05,2.41
Total Liabilities,133.43,108.52,94.18,86.72,82.93
"Common Stock, Total",47.32,47.32,47.32,47.32,47.32
Retained Earnings (Accumulated Deficit),-50.37,-46.02,-73.22,-101.31,-211.05
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-1.83,-2.23,-2.23,-2.22,-2.22
Total Equity,338.66,342.61,315.42,287.33,177.58
Total Liabilities & Shareholders' Equity,472.09,451.13,409.59,374.05,260.51
Total Common Shares Outstanding,1413.33,1413.33,1413.33,1413.33,1413.33
"Tangible Book Value per Share, Common Eq",0.24,0.24,0.22,0.20,0.13
