Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-6.12,-1.01,-22.65,-6.97,1.32
Depreciation/Depletion,2.21,2.50,2.59,2.38,1.41
Non-Cash Items,4.39,2.09,22.88,7.52,2.31
Cash Taxes Paid,0.63,0.32,-0.12,0.87,0.23
Changes in Working Capital,-3.07,-4.88,-1.08,5.95,2.73
Cash from Operating Activities,-2.41,-1.00,1.81,9.05,7.77
Capital Expenditures,-0.96,-3.22,-0.89,-0.37,-0.21
"Other Investing Cash Flow Items, Total",0.14,3.28,0.70,0.35,2.46
Cash from Investing Activities,-0.82,0.06,-0.20,-0.02,2.25
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,-0.10,0,0,0
Cash from Financing Activities,0.03,-0.35,-2.36,-7.91,-8.57
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-3.20,-1.28,-0.74,1.12,1.45
