Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,75.78,134.54,25.27,16.44,15.25
Total Revenue,75.78,134.54,25.27,16.44,15.25
"Selling/General/Admin. Expenses, Total",15.98,17.52,8.27,6.24,7.98
Depreciation/Amortisation,1.02,0.75,0,0,0
Unusual Expense (Income),0,37.06,-0.75,11.24,1.93
"Other Operating Expenses, Total",3.97,-5.63,-7.20,-0.42,-3.71
Total Operating Expense,85.69,199.61,13.99,31.08,29.63
Operating Income,-9.91,-65.07,11.28,-14.64,-14.37
"Interest Inc.(Exp.),Net-Non-Op., Total",-6.69,-4.05,-1.41,6.23,-7.30
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-16.60,-69.12,9.87,-8.41,-21.68
Provision for Income Taxes,0.29,1.22,-0.78,0.02,0.69
Net Income After Taxes,-16.89,-70.34,10.65,-8.43,-22.36
Net Income Before Extra. Items,-17.28,-70.34,10.65,-8.43,-22.36
Net Income,-17.28,-70.34,10.65,-8.43,-22.36
Income Available to Com Excl ExtraOrd,-17.28,-70.34,10.65,-8.43,-22.36
Income Available to Com Incl ExtraOrd,-17.28,-70.34,10.65,-8.43,-22.36
Diluted Net Income,-17.28,-70.34,10.65,-8.43,-22.36
Diluted Weighted Average Shares,628.66,1082.97,1128.66,1128.66,1128.66
Diluted EPS Excluding ExtraOrd Items,-0.03,-0.06,0.01,-0.01,-0.02
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.03,-0.04,0.01,-0.00,-0.02
