Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-3.95,2.92,4.07,0.28,-3.59
Depreciation/Depletion,0.65,0.57,0.46,0.42,0.29
Non-Cash Items,4.61,1.59,-7.24,-3.34,2.83
Cash Taxes Paid,-0.14,-0.07,0.25,0.04,-0.00
Changes in Working Capital,13.28,33.19,35.54,-27.00,14.59
Cash from Operating Activities,14.60,38.28,32.82,-29.65,14.12
Capital Expenditures,-0.23,-0.32,-0.33,-0.07,-0.08
"Other Investing Cash Flow Items, Total",1.14,7.34,-5.51,-3.82,0.06
Cash from Investing Activities,0.92,7.02,-5.84,-3.89,-0.03
Total Cash Dividends Paid,-1.08,-3.25,-3.79,-1.62,-0.54
"Issuance (Retirement) of Stock, Net",1.39,0.00,-0.02,-0.07,-0.03
Cash from Financing Activities,-1.79,-50.44,-43.75,27.04,-11.67
Foreign Exchange Effects,0,-0.01,0.00,0.00,0.00
Net Change in Cash,13.72,-5.16,-16.78,-6.49,2.43
