Fiscal Year,2012,2013,2014,2015,2016
Period Ended,31 Dec 2012,31 Dec 2013,31 Dec 2014,31 Dec 2015,31 Dec 2016
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,2145.85,2020.30,1090.27,889.31,922.09
Total Revenue,2145.85,2020.30,1090.27,889.31,922.09
"Selling/General/Admin. Expenses, Total",97.63,92.26,72.02,63.90,84.73
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.04,8.58,5.96,305.97,18.49
"Other Operating Expenses, Total",-5.99,-5.55,-2.64,-6.17,-3.64
Total Operating Expense,2041.92,1961.75,1116.64,1159.93,953.70
Operating Income,103.93,58.55,-26.37,-270.62,-31.61
"Interest Inc.(Exp.),Net-Non-Op., Total",-33.15,-42.00,-33.01,-29.40,-33.08
"Other, Net",0,0,0,0,0
Net Income Before Taxes,70.78,16.56,-59.39,-300.02,-64.69
Provision for Income Taxes,25.49,14.97,4.77,-33.19,-5.68
Net Income After Taxes,45.29,1.59,-64.15,-266.83,-59.01
Net Income Before Extra. Items,40.40,5.69,-63.80,-266.83,-59.01
Net Income,40.40,5.69,-63.80,-266.83,-59.01
Income Available to Com Excl ExtraOrd,40.40,5.69,-63.80,-266.83,-59.01
Income Available to Com Incl ExtraOrd,40.40,5.69,-63.80,-266.83,-59.01
Diluted Net Income,40.40,5.69,-63.80,-266.83,-59.01
Diluted Weighted Average Shares,43.97,43.97,43.97,43.97,43.97
Diluted EPS Excluding ExtraOrd Items,0.92,0.13,-1.45,-6.07,-1.34
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0
Diluted Normalised EPS,0.92,0.26,-1.36,-1.55,-1.07
