Fiscal Year,2017,2018,2018.1,2019,2020
Period Ended,30 Jun 2017,30 Jun 2018,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,4.67,4.25,5.70,8.32,3.19
"Accounts Receivable - Trade, Net",18.04,9.80,5.67,8.76,7.02
"Total Receivables, Net",18.04,13.40,9.97,14.29,11.39
Prepaid Expenses,0.10,0.12,0.19,0.18,0.15
"Other Current Assets, Total",0,0,0,0,1.32
Total Current Assets,22.92,17.91,16.15,23.15,16.29
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",97.42,88.99,85.23,76.27,60.85
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,20.78,6.00,3.65,0.00,0.00
Total Assets,141.12,116.71,107.53,99.42,77.14
Accounts Payable,3.99,3.97,3.98,10.22,5.90
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,5.45,5.65,6.19,6.47,6.93
"Other Current liabilities, Total",0.00,3.00,0.01,0.13,0.45
Total Current Liabilities,9.44,12.62,10.18,16.81,13.28
Total Long Term Debt,3.63,3.51,2.98,2.26,3.70
Total Debt,9.08,9.16,9.18,8.73,10.63
Deferred Income Tax,3.83,3.95,4.07,4.10,3.34
"Other Liabilities, Total",3.00,0.00,0.00,0,0
Total Liabilities,19.90,20.08,17.24,23.29,20.32
"Common Stock, Total",55.38,55.38,55.38,55.38,55.38
Retained Earnings (Accumulated Deficit),65.89,41.29,34.96,20.80,1.48
Treasury Stock - Common,-0.05,-0.05,-0.05,-0.05,-0.05
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,121.22,96.62,90.29,76.13,56.81
Total Liabilities & Shareholders' Equity,141.12,116.71,107.53,99.42,77.14
Total Common Shares Outstanding,704.89,704.89,704.89,704.89,704.89
"Tangible Book Value per Share, Common Eq",0.17,0.14,0.13,0.11,0.08
