Fiscal Year,2017,2018,2018.1,2019,2020
Period Ended,30 Jun 2017,30 Jun 2018,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-33.93,-18.73,-6.23,-13.90,-19.78
Depreciation/Depletion,7.47,7.19,3.76,7.16,6.29
Non-Cash Items,33.52,12.36,2.54,5.30,14.02
Cash Taxes Paid,0,0,0.00,0.01,0.08
Changes in Working Capital,-13.14,-0.72,0.74,1.86,-4.69
Cash from Operating Activities,-6.09,0.11,0.81,0.43,-4.16
Capital Expenditures,-0.67,-1.10,-0.04,-0.40,-4.17
"Other Investing Cash Flow Items, Total",0.01,0.56,0.65,3.15,1.61
Cash from Investing Activities,-0.65,-0.54,0.62,2.75,-2.57
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",-0.05,0.00,0,0,0
Cash from Financing Activities,1.68,0.00,0.03,-0.55,1.69
Foreign Exchange Effects,0.02,0.01,-0.01,0.00,-0.09
Net Change in Cash,-5.04,-0.42,1.45,2.62,-5.13
