Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,18.71,13.55,21.86,13.10,28.58
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,18.71,13.55,21.86,13.10,28.58
"Accounts Receivable - Trade, Net",3.90,2.40,1.63,1.41,4.67
"Total Receivables, Net",6.19,3.95,2.71,2.89,5.81
Prepaid Expenses,0.17,0.25,0.23,0.19,3.81
"Other Current Assets, Total",0.44,0.06,0.12,0.07,108.07
Total Current Assets,25.51,17.80,24.92,16.25,146.27
"Property/Plant/Equipment, Total - Gross",0.36,0.29,0.42,0.40,0.47
"Accumulated Depreciation, Total",-0.27,-0.21,-0.27,-0.32,-0.24
"Property/Plant/Equipment, Total - Net",0.09,0.08,0.15,0.09,0.23
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.05,0.03,0.01,0.00,0
Long Term Investments,2568.84,2732.95,2815.29,3480.74,3623.10
Total Assets,2594.48,2750.87,2840.37,3610.88,3883.41
Accounts Payable,9.01,5.49,9.50,11.19,11.12
Accrued Expenses,2.57,4.63,4.21,5.08,5.58
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",22.66,24.44,22.06,30.40,21.32
Total Current Liabilities,278.80,202.02,279.51,365.00,317.11
Total Long Term Debt,516.00,645.54,595.59,744.76,997.31
Total Debt,734.00,797.54,812.59,1039.81,1252.31
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",24.03,31.11,31.52,30.07,30.71
Total Liabilities,818.83,878.66,906.62,1139.82,1345.14
"Common Stock, Total",1794.69,1892.67,1952.57,2489.92,2562.61
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-19.05,-20.47,-18.82,-18.86,-24.33
Total Equity,1775.65,1872.20,1933.76,2471.06,2538.28
Total Liabilities & Shareholders' Equity,2594.48,2750.87,2840.37,3610.88,3883.41
Total Common Shares Outstanding,926.44,929.54,933.51,1123.62,1126.81
"Tangible Book Value per Share, Common Eq",1.92,2.01,2.07,2.20,2.25
