Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,31 Mar 2017,31 Mar 2018,31 Mar 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,12.71,10.34,11.04,11.53,13.68
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,12.71,10.34,11.04,11.53,13.68
"Accounts Receivable - Trade, Net",46.25,48.38,50.85,56.00,53.15
"Total Receivables, Net",46.25,48.38,50.85,56.00,53.15
Prepaid Expenses,0.15,0.12,0.07,0.15,0.13
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,155.81,142.19,140.58,154.31,158.01
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",5.77,5.77,5.17,10.97,18.94
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",1.13,0.99,0.85,0.70,0.53
Long Term Investments,5.25,5.56,5.42,6.41,6.54
Total Assets,169.49,155.61,152.66,173.57,185.78
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,6.84,3.06
"Other Current liabilities, Total",1.35,0.52,0.62,0.66,0.27
Total Current Liabilities,63.60,52.07,47.75,59.63,65.18
Total Long Term Debt,3.38,1.37,0.59,10.20,18.08
Total Debt,11.97,12.29,11.91,34.41,52.56
Deferred Income Tax,0.16,0.25,0.25,0.00,0.00
"Other Liabilities, Total",0.29,0.31,0.26,0.18,0.26
Total Liabilities,67.43,53.99,48.84,69.97,83.56
"Common Stock, Total",96.72,96.72,96.72,96.72,96.72
Retained Earnings (Accumulated Deficit),4.86,4.91,7.50,7.16,5.46
Treasury Stock - Common,0,-0.70,-0.70,-0.70,-0.70
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.49,0.69,0.31,0.42,0.74
Total Equity,102.06,101.62,103.82,103.60,102.22
Total Liabilities & Shareholders' Equity,169.49,155.61,152.66,173.57,185.78
Total Common Shares Outstanding,565.51,559.41,559.41,559.41,559.41
"Tangible Book Value per Share, Common Eq",0.18,0.18,0.18,0.18,0.18
