Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-9.97,20.21,20.80,185.90,126.32
Depreciation/Depletion,6.75,9.10,7.91,5.93,5.49
Non-Cash Items,14.21,-45.61,3.70,15.22,33.49
Cash Taxes Paid,49.82,47.85,49.67,120.34,8.16
Changes in Working Capital,321.28,758.77,163.42,-137.04,-172.53
Cash from Operating Activities,332.27,742.46,195.83,70.02,-7.23
Capital Expenditures,-9.65,-44.57,-10.65,-8.23,-4.03
"Other Investing Cash Flow Items, Total",104.53,-22.09,-6.21,-147.29,99.52
Cash from Investing Activities,94.88,-66.66,-16.86,-155.52,95.49
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-423.50,-372.25,-427.98,28.99,-121.93
Foreign Exchange Effects,0.29,-0.74,1.67,0.32,-0.84
Net Change in Cash,3.94,302.82,-247.34,-56.20,-34.51
