Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,9.50,9.84,11.99,11.57,6.26
Depreciation/Depletion,4.21,4.89,4.84,7.70,7.23
Non-Cash Items,1.00,1.59,2.47,0.28,1.39
Cash Taxes Paid,3.46,1.40,1.42,1.85,1.12
Changes in Working Capital,1.65,-3.85,-4.04,2.92,6.23
Cash from Operating Activities,16.36,12.47,15.27,22.48,21.11
Capital Expenditures,-28.78,-3.81,-2.54,-1.03,-2.26
"Other Investing Cash Flow Items, Total",-4.52,-0.49,-2.10,0.60,3.72
Cash from Investing Activities,-33.29,-4.29,-4.64,-0.44,1.46
Total Cash Dividends Paid,-4.29,-4.30,-4.31,-4.31,-3.23
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,12.88,-6.60,-10.56,-20.52,-24.93
Foreign Exchange Effects,-0.04,-0.02,0.00,-0.02,0.01
Net Change in Cash,-4.09,1.56,0.07,1.50,-2.35
