Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,109.64,115.83,120.00,108.44,84.32
Total Revenue,109.64,115.83,120.00,108.44,84.32
"Selling/General/Admin. Expenses, Total",1.04,1.84,1.91,1.49,4.40
Depreciation/Amortisation,4.21,4.89,4.84,7.70,7.23
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",11.21,11.50,11.82,8.09,4.73
Total Operating Expense,99.39,105.11,106.95,96.62,76.67
Operating Income,10.25,10.73,13.05,11.82,7.65
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.76,-0.89,-1.09,-0.20,-1.39
"Other, Net",0,0,0,0,0
Net Income Before Taxes,9.50,9.84,11.99,11.57,6.26
Provision for Income Taxes,1.59,1.41,1.87,1.57,0.73
Net Income After Taxes,7.91,8.43,10.12,10.01,5.54
Net Income Before Extra. Items,8.17,8.75,10.72,10.09,5.26
Net Income,8.17,8.75,10.72,10.09,5.26
Income Available to Com Excl ExtraOrd,8.17,8.75,10.72,10.09,5.26
Income Available to Com Incl ExtraOrd,8.17,8.75,10.72,10.09,5.26
Diluted Net Income,8.17,8.75,10.72,10.09,5.26
Diluted Weighted Average Shares,430.26,429.77,430.55,430.55,430.55
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,0.02,0.02,0.01
DPS - Common Stock Primary Issue,0.01,0.02,0.01,0.01,0.01
Diluted Normalised EPS,0.02,0.02,0.02,0.02,0.01
