Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,551.25,413.55,254.98,474.41,384.72
"Accounts Receivable - Trade, Net",256.08,378.54,273.43,180.73,449.86
"Total Receivables, Net",358.90,481.17,417.29,614.97,629.97
Prepaid Expenses,6.08,29.05,23.23,25.62,36.19
"Other Current Assets, Total",15.45,25.83,134.45,9.76,8.24
Total Current Assets,3392.33,2962.24,2973.72,3718.87,3549.51
"Property/Plant/Equipment, Total - Gross",691.31,912.05,69.90,1027.39,967.61
"Accumulated Depreciation, Total",-1.22,-1.41,-3.38,-6.05,-23.05
"Property/Plant/Equipment, Total - Net",690.08,910.64,66.52,1021.34,944.56
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,905.40,0.00,27.18
Long Term Investments,608.21,703.12,1881.28,1168.73,423.43
Total Assets,4732.50,4607.89,5995.49,6099.62,5147.62
Accounts Payable,252.29,384.33,381.33,428.39,405.25
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,450.00,0.00
"Other Current liabilities, Total",754.92,589.28,612.17,610.78,614.91
Total Current Liabilities,2406.20,1582.96,1239.86,2381.55,2770.72
Total Long Term Debt,1234.59,1849.56,3213.76,2237.58,1266.22
Total Debt,2633.58,2458.91,3460.13,3579.96,3016.78
Deferred Income Tax,126.48,86.50,64.85,69.75,45.15
"Other Liabilities, Total",0,0,0,0.17,0.00
Total Liabilities,3947.83,3563.08,4559.75,4693.72,4100.22
"Common Stock, Total",163.88,163.88,242.05,275.92,300.70
Retained Earnings (Accumulated Deficit),502.96,690.35,929.25,902.42,581.67
Treasury Stock - Common,-7.86,-9.52,-2.58,-3.94,-7.64
Unrealised Gain (Loss),154.20,227.32,269.70,245.68,180.90
"Other Equity, Total",-28.52,-27.22,-2.69,-14.18,-8.24
Total Equity,784.66,1044.81,1435.73,1405.89,1047.40
Total Liabilities & Shareholders' Equity,4732.50,4607.89,5995.49,6099.62,5147.62
Total Common Shares Outstanding,3866.93,3861.65,4042.75,4155.74,4218.47
"Tangible Book Value per Share, Common Eq",0.20,0.27,0.13,0.34,0.24
