Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,981.36,1343.02,1188.61,686.07,1232.96
Total Revenue,981.36,1343.02,1188.61,686.07,1232.96
"Selling/General/Admin. Expenses, Total",42.35,53.59,66.88,85.80,80.62
Depreciation/Amortisation,0,0,0,1.68,2.83
Unusual Expense (Income),12.94,18.26,0.46,-11.20,0.93
"Other Operating Expenses, Total",-5.42,-4.18,1.08,2.98,107.67
Total Operating Expense,643.17,1002.19,921.72,407.96,1346.09
Operating Income,338.19,340.83,266.89,278.11,-113.13
"Interest Inc.(Exp.),Net-Non-Op., Total",25.22,-41.38,38.75,-171.67,-143.91
"Other, Net",0,0,-0.31,-1.03,-1.29
Net Income Before Taxes,363.41,299.45,305.34,105.42,-258.33
Provision for Income Taxes,68.01,71.80,23.22,9.44,16.76
Net Income After Taxes,295.40,227.65,282.12,95.98,-275.09
Net Income Before Extra. Items,206.00,218.11,285.03,96.76,-280.61
Net Income,206.00,218.11,285.03,96.76,-280.61
Income Available to Com Excl ExtraOrd,206.00,218.11,285.03,96.76,-280.61
Income Available to Com Incl ExtraOrd,206.00,218.11,285.03,96.76,-280.61
Diluted Net Income,206.00,218.11,285.03,96.76,-280.61
Diluted Weighted Average Shares,3883.71,3862.53,3922.85,4086.39,4185.45
Diluted EPS Excluding ExtraOrd Items,0.05,0.06,0.07,0.02,-0.07
DPS - Common Stock Primary Issue,0.01,0.01,0.02,0.02,0.01
Diluted Normalised EPS,0.06,0.06,0.07,0.02,-0.07
