Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,363.41,299.45,305.34,105.42,-258.33
Depreciation/Depletion,0.50,0.67,14.07,14.77,16.11
Non-Cash Items,-138.02,20.31,-201.39,-65.76,426.30
Cash Taxes Paid,19.75,28.35,98.11,0.50,36.79
Changes in Working Capital,102.69,140.86,-2.92,-379.53,-145.19
Cash from Operating Activities,328.57,461.29,115.10,-325.10,38.89
Capital Expenditures,-33.02,-124.30,-30.89,-50.29,-4.48
"Other Investing Cash Flow Items, Total",-87.12,-66.55,-1123.45,171.76,655.17
Cash from Investing Activities,-120.13,-190.85,-1154.34,121.48,650.69
Total Cash Dividends Paid,-60.66,-30.72,-49.75,-10.82,-16.95
"Issuance (Retirement) of Stock, Net",-7.86,-1.66,90.54,0.00,-3.70
Cash from Financing Activities,14.02,-410.09,878.65,338.90,-766.04
Foreign Exchange Effects,-15.18,1.94,2.03,-1.81,0.99
Net Change in Cash,207.28,-137.71,-158.57,133.46,-75.47
