Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,Interim Report,Interim Report,ARS,ARS,ARS
Cash,34.69,49.85,42.59,50.05,75.40
Short Term Investments,15.35,16.00,5.69,11.76,2.77
Cash and Short Term Investments,50.03,65.85,48.28,61.81,78.17
"Accounts Receivable - Trade, Net",256.41,252.43,221.59,243.79,282.88
"Total Receivables, Net",300.47,324.53,278.56,261.77,306.90
Prepaid Expenses,1.84,3.18,4.83,5.55,28.25
"Other Current Assets, Total",60.23,78.07,90.69,123.00,125.40
Total Current Assets,636.72,848.42,832.50,783.52,834.22
"Property/Plant/Equipment, Total - Gross",466.66,536.20,600.92,666.05,697.31
"Accumulated Depreciation, Total",-139.71,-170.56,-181.79,-201.22,-249.49
"Property/Plant/Equipment, Total - Net",326.95,365.65,417.33,464.83,447.82
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.00,0.00,0.97,0.97,0.97
Long Term Investments,0.35,0.44,0.49,0.57,0.67
Total Assets,976.99,1224.86,1255.65,1252.79,1284.19
Accounts Payable,123.97,146.64,142.15,125.03,141.49
Accrued Expenses,29.48,30.52,37.58,27.04,34.26
Notes Payable/Short Term Debt,174.11,369.86,389.06,351.19,235.05
"Other Current liabilities, Total",84.45,88.52,73.99,150.83,176.09
Total Current Liabilities,432.77,651.10,658.28,677.18,601.00
Total Long Term Debt,30.98,19.06,46.31,34.36,41.45
Total Debt,225.87,404.48,450.87,408.62,290.61
Deferred Income Tax,27.19,37.04,30.76,18.69,31.41
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,488.23,708.33,736.12,730.53,672.99
"Common Stock, Total",1.50,1.50,1.50,1.50,1.50
Retained Earnings (Accumulated Deficit),307.25,319.05,326.88,328.48,412.67
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0.00,0.00,0,0,0
"Other Equity, Total",0.00,15.96,11.14,12.26,17.01
Total Equity,488.76,516.52,519.53,522.26,611.20
Total Liabilities & Shareholders' Equity,976.99,1224.86,1255.65,1252.79,1284.19
Total Common Shares Outstanding,1500.67,1500.67,1500.67,1500.67,1500.67
"Tangible Book Value per Share, Common Eq",0.33,0.34,0.35,0.35,0.41
