Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,15.39,3.91,12.84,5.84,10.92
Short Term Investments,0.00,0,0,0,0
Cash and Short Term Investments,15.39,3.91,12.84,5.84,10.92
"Accounts Receivable - Trade, Net",8.74,9.88,10.26,9.73,5.35
"Total Receivables, Net",34.71,36.41,38.52,39.97,37.59
Prepaid Expenses,0.04,0.10,0.07,0.01,0.09
"Other Current Assets, Total",3.93,0.00,0.37,0.00,0
Total Current Assets,54.07,40.42,51.80,45.82,48.60
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0,0,0,0,0
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,2434.48,2397.24,2647.86,2653.73,2532.76
Total Assets,2488.55,2437.95,2699.65,2699.55,2581.36
Accounts Payable,0.43,2.29,2.54,2.12,3.49
Accrued Expenses,7.81,6.66,7.91,7.52,5.84
Notes Payable/Short Term Debt,42.00,16.84,52.60,16.50,12.82
"Other Current liabilities, Total",4.30,4.01,4.64,5.13,10.06
Total Current Liabilities,304.37,261.94,167.69,31.26,257.21
Total Long Term Debt,530.99,548.88,875.27,975.69,751.38
Total Debt,822.82,797.87,1027.87,992.19,989.20
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",7.62,8.41,9.13,11.34,15.08
Total Liabilities,842.98,819.23,1052.08,1018.30,1023.67
"Common Stock, Total",0,0,0,0,0
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",1645.58,1618.71,1647.57,1681.25,1557.68
Total Equity,1645.58,1618.71,1647.57,1681.25,1557.68
Total Liabilities & Shareholders' Equity,2488.55,2437.95,2699.65,2699.55,2581.36
Total Common Shares Outstanding,1801.42,1854.70,1872.01,1943.25,1961.40
"Tangible Book Value per Share, Common Eq",0.91,0.87,0.88,0.87,0.79
