Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,109.06,103.83,113.68,115.55,83.25
Total Revenue,109.06,103.83,113.68,115.55,83.25
"Selling/General/Admin. Expenses, Total",0.81,1.28,0.91,1.48,0.72
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0,0,0,0,0
Total Operating Expense,23.31,23.44,24.12,25.30,21.57
Operating Income,85.75,80.39,89.56,90.25,61.69
"Interest Inc.(Exp.),Net-Non-Op., Total",-55.67,-65.32,1.86,-29.03,-154.27
"Other, Net",0,-0.76,-0.77,-0.76,-0.73
Net Income Before Taxes,30.08,14.31,90.66,60.47,-93.31
Provision for Income Taxes,0.01,0.02,0.05,0.10,0.09
Net Income After Taxes,30.07,14.30,90.60,60.37,-93.40
Net Income Before Extra. Items,30.07,14.30,90.60,60.37,-93.40
Net Income,30.07,14.30,90.60,60.37,-93.40
Income Available to Com Excl ExtraOrd,30.07,14.30,90.60,60.37,-93.40
Income Available to Com Incl ExtraOrd,30.07,14.30,90.60,60.37,-93.40
Diluted Net Income,30.07,14.30,90.60,60.37,-93.40
Diluted Weighted Average Shares,1796.30,1831.30,1871.18,1914.77,1953.89
Diluted EPS Excluding ExtraOrd Items,0.02,0.01,0.05,0.03,-0.05
DPS - Common Stock Primary Issue,0.04,0.03,0.03,0.03,0.02
Diluted Normalised EPS,0.02,0.01,0.05,0.03,-0.05
