Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,15.97,33.82,30.35,42.60,43.05
Depreciation/Depletion,16.12,14.51,15.15,20.56,21.08
Non-Cash Items,3.81,-2.84,15.10,16.72,15.32
Cash Taxes Paid,5.19,5.62,7.39,8.65,6.01
Changes in Working Capital,-18.54,-11.88,-36.70,14.50,-0.34
Cash from Operating Activities,18.46,34.87,25.06,94.87,79.64
Capital Expenditures,-20.00,-26.13,-24.33,-15.51,-23.78
"Other Investing Cash Flow Items, Total",0.46,40.33,1.16,3.78,1.02
Cash from Investing Activities,-19.54,14.20,-23.17,-11.73,-22.76
Total Cash Dividends Paid,-3.04,-4.97,-10.06,-9.06,-12.76
"Issuance (Retirement) of Stock, Net",0.37,1.91,0.95,0.59,0.84
Cash from Financing Activities,2.56,6.77,-1.78,-19.13,-14.96
Foreign Exchange Effects,0.17,-1.27,0.34,0.53,-0.38
Net Change in Cash,1.65,54.57,0.46,64.54,41.53
