Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-3.79,3.34,1.29,4.14,1.99
Depreciation/Depletion,1.46,1.48,1.47,1.51,1.48
Non-Cash Items,2.08,-3.44,0.11,-1.63,1.66
Cash Taxes Paid,0.52,0.09,0.50,0.46,0.67
Changes in Working Capital,7.83,1.88,-1.16,2.67,-5.29
Cash from Operating Activities,8.53,4.34,3.01,7.99,1.66
Capital Expenditures,-6.09,-3.27,-2.32,-5.66,-1.84
"Other Investing Cash Flow Items, Total",0.74,-2.77,1.25,3.14,0.13
Cash from Investing Activities,-5.36,-6.05,-1.08,-2.51,-1.71
Total Cash Dividends Paid,0.00,-0.50,-0.49,0.00,-0.87
"Issuance (Retirement) of Stock, Net",0,-0.22,-0.25,2.65,0.00
Cash from Financing Activities,-2.69,0.58,-1.40,0.19,3.87
Foreign Exchange Effects,-0.04,-0.10,-0.06,-0.15,0.25
Net Change in Cash,0.45,-1.23,0.48,5.52,4.06
