Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,19.83,9.84,13.85,14.48,21.03
"Accounts Receivable - Trade, Net",8.74,9.49,9.17,8.61,8.43
"Total Receivables, Net",8.96,9.55,9.24,8.70,8.52
Prepaid Expenses,0.35,0.56,0.27,0.35,0.27
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,31.61,21.25,26.67,25.82,30.58
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",31.94,32.92,27.95,27.52,25.95
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",3.50,1.65,1.43,1.21,0.00
Long Term Investments,1.42,7.87,8.22,3.24,2.35
Total Assets,68.53,63.70,64.27,57.79,58.88
Accounts Payable,5.38,4.06,4.30,3.02,4.06
Accrued Expenses,1.30,1.62,1.40,1.22,0.98
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",1.24,1.04,0.85,2.66,0.60
Total Current Liabilities,8.78,7.64,7.48,7.89,6.61
Total Long Term Debt,11.38,10.88,10.07,8.77,8.01
Total Debt,12.24,11.82,11.00,9.75,8.97
Deferred Income Tax,1.04,0.97,0.64,0.63,0.74
"Other Liabilities, Total",0,0,0,0.12,0.12
Total Liabilities,21.42,19.62,18.31,17.46,15.53
"Common Stock, Total",61.64,61.64,61.64,61.64,61.64
Retained Earnings (Accumulated Deficit),-14.59,-17.48,-15.59,-21.22,-18.22
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.05,-0.08,-0.09,-0.10,-0.07
Total Equity,47.10,44.09,45.97,40.32,43.36
Total Liabilities & Shareholders' Equity,68.53,63.70,64.27,57.79,58.88
Total Common Shares Outstanding,400.00,400.00,400.00,400.00,400.00
"Tangible Book Value per Share, Common Eq",0.11,0.11,0.11,0.10,0.11
