Fiscal Year,2017,2018,2019,2020,2021
Period Ended,28 Feb 2017,28 Feb 2018,28 Feb 2019,29 Feb 2020,28 Feb 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-2.39,-2.24,-9.12,-1.21,-4.16
Depreciation/Depletion,2.57,2.64,2.63,3.38,2.52
Non-Cash Items,-0.35,1.12,0.10,-0.61,0.43
Cash Taxes Paid,0.41,0.59,-0.55,-1.39,0.10
Changes in Working Capital,-4.84,-2.10,13.52,0.42,-0.68
Cash from Operating Activities,-4.83,-0.39,7.12,1.97,-1.88
Capital Expenditures,-3.34,-2.03,-7.40,-1.96,-0.31
"Other Investing Cash Flow Items, Total",0.62,-0.23,0.26,0.20,0.29
Cash from Investing Activities,-2.72,-2.26,-7.14,-1.75,-0.03
Total Cash Dividends Paid,-2.24,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-3.43,-0.69,-0.50,0.08,2.32
Foreign Exchange Effects,0.01,-0.01,0.00,0.00,0
Net Change in Cash,-10.97,-3.34,-0.52,0.29,0.41
