Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0.30,0.00,0,0,0
Cash and Short Term Investments,16.65,15.87,8.44,8.55,10.72
"Accounts Receivable - Trade, Net",4.71,2.97,7.24,11.03,12.59
"Total Receivables, Net",4.71,3.11,7.24,11.15,12.59
Prepaid Expenses,1.48,1.11,1.25,0.87,0.78
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,35.31,36.27,40.89,48.69,45.42
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",19.08,21.07,29.96,32.16,31.79
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",8.60,8.95,8.38,7.76,7.72
Long Term Investments,0,0,0,0,0
Total Assets,64.42,67.49,84.19,93.62,89.16
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",1.50,1.42,10.85,12.04,15.05
Total Current Liabilities,15.01,19.00,22.52,30.96,27.30
Total Long Term Debt,2.83,2.34,4.67,7.13,4.45
Total Debt,3.60,2.74,5.56,16.01,7.00
Deferred Income Tax,1.11,0.94,0.67,0.42,0.38
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,18.95,22.28,27.86,38.51,32.13
"Common Stock, Total",43.00,43.05,43.05,43.05,43.14
Retained Earnings (Accumulated Deficit),29.19,29.75,11.94,12.53,13.59
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-26.71,-27.58,1.34,-0.47,0.31
Total Equity,45.48,45.22,56.33,55.10,57.03
Total Liabilities & Shareholders' Equity,64.42,67.49,84.19,93.62,89.16
Total Common Shares Outstanding,184.03,184.23,184.24,184.24,184.64
"Tangible Book Value per Share, Common Eq",0.20,0.20,0.26,0.26,0.27
