Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,37.11,57.78,57.88,52.96,119.99
Short Term Investments,43.84,37.12,80.56,84.14,15.62
Cash and Short Term Investments,80.94,94.90,138.44,137.09,135.61
"Accounts Receivable - Trade, Net",12.40,20.76,32.83,28.92,27.73
"Total Receivables, Net",23.00,20.76,32.83,29.72,28.56
Prepaid Expenses,2.56,0,0,0,0
"Other Current Assets, Total",1.61,74.08,1.34,367.64,-4.51
Total Current Assets,109.16,190.90,173.50,536.22,161.61
"Property/Plant/Equipment, Total - Gross",270.79,345.18,366.56,397.91,741.10
"Accumulated Depreciation, Total",-26.43,-12.51,-18.38,-24.07,-32.06
"Property/Plant/Equipment, Total - Net",244.36,332.67,348.18,373.84,709.04
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,2175.01,2331.43,2428.92,2139.39,1978.36
Total Assets,2535.34,2862.16,2962.17,3061.13,2854.46
Accounts Payable,8.33,4.11,1.89,0,0
Accrued Expenses,24.32,17.48,23.37,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,78.66,289.80
"Other Current liabilities, Total",3.32,24.44,29.06,7.89,12.73
Total Current Liabilities,35.98,332.26,302.28,131.27,348.58
Total Long Term Debt,928.85,643.98,762.69,1023.94,831.47
Total Debt,928.85,930.21,1011.37,1103.69,1123.35
Deferred Income Tax,15.12,31.25,31.63,32.96,22.15
"Other Liabilities, Total",8.98,9.40,10.24,10.48,24.52
Total Liabilities,988.92,1021.88,1114.50,1206.95,1234.55
"Common Stock, Total",1167.83,1428.29,1847.66,1854.17,1619.91
Retained Earnings (Accumulated Deficit),393.12,416.82,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,17.16,0,0,0
"Other Equity, Total",-14.52,-21.99,0,0,0
Total Equity,1546.42,1840.27,1847.66,1854.17,1619.91
Total Liabilities & Shareholders' Equity,2535.34,2862.16,2962.17,3061.13,2854.46
Total Common Shares Outstanding,1030.69,1198.82,1205.47,1212.58,1221.50
"Tangible Book Value per Share, Common Eq",1.50,1.54,1.53,1.53,1.33
