Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,180.86,204.32,201.80,196.87,117.56
Total Revenue,180.86,204.32,201.80,196.87,117.56
"Selling/General/Admin. Expenses, Total",11.04,0,0,0,0
Depreciation/Amortisation,16.94,10.39,11.38,12.03,16.19
Unusual Expense (Income),0,17.98,2.79,17.33,51.57
"Other Operating Expenses, Total",2.29,5.02,5.02,9.86,8.42
Total Operating Expense,75.97,100.00,88.98,109.26,135.92
Operating Income,104.89,104.32,112.82,87.61,-18.36
"Interest Inc.(Exp.),Net-Non-Op., Total",-54.33,37.38,13.61,38.13,-166.47
"Other, Net",-0.21,-0.21,-0.22,-0.23,-0.24
Net Income Before Taxes,50.35,141.48,126.21,125.51,-185.08
Provision for Income Taxes,1.01,12.36,15.68,11.45,4.06
Net Income After Taxes,49.33,129.12,110.54,114.06,-189.14
Net Income Before Extra. Items,49.33,129.02,110.32,112.73,-188.02
Net Income,49.33,129.02,110.32,112.73,-188.02
Income Available to Com Excl ExtraOrd,49.33,129.02,110.32,112.73,-188.02
Income Available to Com Incl ExtraOrd,49.33,129.02,110.32,112.73,-188.02
Diluted Net Income,49.33,129.02,110.32,112.73,-188.02
Diluted Weighted Average Shares,1035.98,1113.24,1209.89,1216.63,1220.10
Diluted EPS Excluding ExtraOrd Items,0.05,0.12,0.09,0.09,-0.15
DPS - Common Stock Primary Issue,0.08,0.08,0.08,0.07,0.06
Diluted Normalised EPS,0.06,0.13,0.09,0.11,-0.13
