Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,1626.17,1965.47,3262.89,3604.63,4058.80
Total Revenue,1626.17,1965.47,3262.89,3604.63,4058.80
"Selling/General/Admin. Expenses, Total",210.21,239.59,375.21,379.36,386.60
Depreciation/Amortisation,2.43,14.38,37.57,47.58,67.79
Unusual Expense (Income),0,0,0,0,-0.87
"Other Operating Expenses, Total",-5.70,-36.95,-90.53,-92.80,-132.19
Total Operating Expense,1448.50,1765.20,2890.67,3053.38,3400.34
Operating Income,177.67,200.27,372.22,551.25,658.46
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-91.78,-147.81,-222.99,-243.61
"Other, Net",0,69.34,170.29,-88.21,-331.49
Net Income Before Taxes,177.67,177.84,394.70,240.05,83.36
Provision for Income Taxes,32.00,26.99,62.15,90.71,111.52
Net Income After Taxes,145.68,150.85,332.56,149.34,-28.17
Net Income Before Extra. Items,142.17,145.77,320.52,138.04,-55.55
Net Income,142.17,145.77,320.52,138.04,-55.55
Income Available to Com Excl ExtraOrd,142.17,145.77,320.52,138.04,-55.55
Income Available to Com Incl ExtraOrd,142.17,145.77,320.52,138.04,-55.55
Diluted Net Income,142.17,145.77,405.47,138.04,-55.55
Diluted Weighted Average Shares,755.74,1044.92,1087.28,781.32,789.31
Diluted EPS Excluding ExtraOrd Items,0.19,0.14,0.37,0.18,-0.07
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.01,0.01
Diluted Normalised EPS,0.19,0.14,0.37,0.18,-0.07
