Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-3.39,-1.39,1.45,2.72,-8.27
Depreciation/Depletion,0.34,0.52,0.47,1.00,0.24
Non-Cash Items,0.01,0.33,0.30,1.13,2.20
Cash Taxes Paid,0,-0.05,1.02,0.49,0.00
Changes in Working Capital,-0.69,-0.70,-2.98,-1.69,3.73
Cash from Operating Activities,-3.74,-1.24,-0.75,3.16,-2.11
Capital Expenditures,-0.87,-0.26,-0.30,-0.29,-1.08
"Other Investing Cash Flow Items, Total",0.43,-1.98,0.63,0.68,67.43
Cash from Investing Activities,-0.44,-2.24,0.33,0.39,66.35
Total Cash Dividends Paid,0.00,0,0,-0.99,-11.39
"Issuance (Retirement) of Stock, Net",0.00,0,0,-0.00,15.09
Cash from Financing Activities,0.55,0.40,0.12,-1.54,3.59
Foreign Exchange Effects,-0.07,-0.04,-0.01,-0.00,0.03
Net Change in Cash,-3.70,-3.12,-0.31,2.01,67.86
