Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,7.11,1.29,0.45,0.02,0.01
Total Revenue,7.11,1.29,0.45,0.02,0.01
"Selling/General/Admin. Expenses, Total",8.30,4.77,3.33,1.87,2.21
Depreciation/Amortisation,0.44,0.36,0.22,0.02,0.01
Unusual Expense (Income),-0.27,0.05,2.21,0.00,0.00
"Other Operating Expenses, Total",-0.09,-0.14,-0.90,-0.24,-0.16
Total Operating Expense,11.28,5.88,5.11,1.42,1.90
Operating Income,-4.17,-4.59,-4.66,-1.40,-1.89
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-4.17,-4.59,-4.66,-1.40,-1.89
Provision for Income Taxes,-0.05,-0.01,0.02,0.00,0.00
Net Income After Taxes,-4.12,-4.59,-4.68,-1.40,-1.89
Net Income Before Extra. Items,-4.04,-4.53,-4.68,-1.40,-1.89
Net Income,-4.04,-4.53,-4.68,-1.40,-1.89
Income Available to Com Excl ExtraOrd,-4.04,-4.53,-4.68,-1.40,-1.89
Income Available to Com Incl ExtraOrd,-4.04,-4.53,-4.68,-1.40,-1.89
Diluted Net Income,-4.04,-4.53,-4.68,-1.40,-1.89
Diluted Weighted Average Shares,249.68,249.68,249.68,249.68,249.68
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.02,-0.02,-0.01,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.02,-0.02,-0.01,-0.01,-0.01
