Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-4.13,-0.03,-13.99,-4.53,-3.27
Depreciation/Depletion,3.35,3.34,0.96,0.64,0.70
Non-Cash Items,2.88,1.32,9.69,1.88,1.15
Cash Taxes Paid,0.70,0.64,0.72,0,0
Changes in Working Capital,-5.67,-5.56,3.55,0.67,0.66
Cash from Operating Activities,-2.63,-0.63,0.31,-1.34,-0.76
Capital Expenditures,-4.22,-2.39,-0.01,0.00,-0.02
"Other Investing Cash Flow Items, Total",0.06,-0.35,0.48,0.06,0.54
Cash from Investing Activities,-4.16,-2.74,0.47,0.06,0.52
Total Cash Dividends Paid,-0.90,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,5.56,0.00,0,0
Cash from Financing Activities,4.82,3.57,0.22,-0.46,0.17
Foreign Exchange Effects,-0.11,-0.03,-0.02,-0.02,0.01
Net Change in Cash,-2.09,0.17,0.97,-1.76,-0.07
