Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,2.59,2.20,2.46,0.88,0.85
Short Term Investments,0,0.39,0.00,0,0
Cash and Short Term Investments,2.59,2.59,2.46,0.88,0.85
"Accounts Receivable - Trade, Net",3.98,0.99,0.10,0.04,0.02
"Total Receivables, Net",4.58,1.36,0.33,0.43,0.41
Prepaid Expenses,1.11,2.17,0.52,0,0
"Other Current Assets, Total",0,90.11,89.80,89.20,89.78
Total Current Assets,16.21,108.38,93.54,90.59,91.26
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",103.75,25.16,16.01,18.02,17.77
"Goodwill, Net",12.25,0,0,0,0
"Intangibles, Net",0.00,0,0,0,0
Long Term Investments,0,0,0,0,0
Total Assets,137.79,138.63,114.42,108.80,109.21
Accounts Payable,6.02,4.44,0.07,0.07,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,8.48,6.96,6.31,6.20,7.21
"Other Current liabilities, Total",6.62,7.14,3.69,3.56,1.19
Total Current Liabilities,21.12,18.54,10.07,9.90,11.38
Total Long Term Debt,5.73,0.00,0.00,0.00,0.13
Total Debt,14.20,6.96,6.31,6.27,7.37
Deferred Income Tax,17.51,17.39,17.29,17.25,17.41
"Other Liabilities, Total",2.37,2.03,1.99,1.93,2.00
Total Liabilities,56.18,47.43,38.81,38.54,40.23
"Common Stock, Total",68.15,78.28,78.28,78.28,78.28
Retained Earnings (Accumulated Deficit),13.46,12.92,-2.67,-8.02,-9.31
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,81.61,91.20,75.62,70.27,68.97
Total Liabilities & Shareholders' Equity,137.79,138.63,114.42,108.80,109.21
Total Common Shares Outstanding,906.11,1031.52,1031.53,1031.52,1031.53
"Tangible Book Value per Share, Common Eq",0.08,0.09,0.07,0.07,0.07
