Fiscal Year,2015,2016,2017,2018,2020
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,166.93,178.97,139.08,167.14,24.23
Total Revenue,166.93,178.97,139.08,167.14,24.23
"Selling/General/Admin. Expenses, Total",15.11,14.95,30.32,36.21,10.66
Depreciation/Amortisation,0,0,3.56,2.36,1.76
Unusual Expense (Income),0,0,1.21,0.04,21.38
"Other Operating Expenses, Total",-0.18,-0.22,53.80,117.01,29.87
Total Operating Expense,147.28,153.81,136.59,191.52,70.42
Operating Income,19.64,25.16,2.50,-24.38,-46.19
"Interest Inc.(Exp.),Net-Non-Op., Total",0.15,0.15,-0.76,0.08,-1.98
"Other, Net",0,0,0,0,0
Net Income Before Taxes,19.80,25.31,1.82,-24.84,-48.18
Provision for Income Taxes,2.95,4.82,0.30,1.55,0.03
Net Income After Taxes,16.85,20.50,1.51,-26.39,-48.21
Net Income Before Extra. Items,16.88,20.50,1.52,-26.45,-48.12
Net Income,16.88,20.50,1.52,-26.45,-49.40
Income Available to Com Excl ExtraOrd,16.88,20.50,1.52,-26.45,-48.12
Income Available to Com Incl ExtraOrd,16.88,20.50,1.52,-26.45,-49.40
Diluted Net Income,16.88,20.50,1.52,-26.45,-49.40
Diluted Weighted Average Shares,260.26,260.26,260.26,260.26,260.26
Diluted EPS Excluding ExtraOrd Items,0.06,0.08,0.01,-0.10,-0.18
DPS - Common Stock Primary Issue,0.03,0.03,0.01,0,0
Diluted Normalised EPS,0.06,0.08,0.01,-0.10,-0.13
