Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,194.10,218.75,134.80,198.22,161.98
Total Revenue,194.10,218.75,134.80,198.22,161.98
"Selling/General/Admin. Expenses, Total",24.13,27.07,25.88,26.90,23.81
Depreciation/Amortisation,3.69,4.27,5.95,6.43,6.75
Unusual Expense (Income),-1.02,0.14,0.51,0.25,3.31
"Other Operating Expenses, Total",15.95,-3.78,-2.46,-4.02,-1.39
Total Operating Expense,207.87,245.38,148.71,207.88,217.09
Operating Income,-13.77,-26.64,-13.91,-9.66,-55.10
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-13.77,-26.64,-13.91,-9.66,-55.10
Provision for Income Taxes,0.79,0.64,-0.83,1.12,2.57
Net Income After Taxes,-14.55,-27.28,-13.08,-10.78,-57.67
Net Income Before Extra. Items,-6.67,-18.93,-14.92,-11.06,-55.80
Net Income,-6.67,-18.93,-14.92,-11.06,-55.80
Income Available to Com Excl ExtraOrd,-6.67,-18.93,-14.92,-11.06,-55.80
Income Available to Com Incl ExtraOrd,-6.67,-18.93,-14.92,-11.06,-55.80
Diluted Net Income,-6.67,-18.93,-14.92,-11.06,-55.80
Diluted Weighted Average Shares,475.07,492.60,510.53,518.07,518.07
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.04,-0.03,-0.02,-0.11
DPS - Common Stock Primary Issue,0.01,0.01,0,0,0
Diluted Normalised EPS,-0.02,-0.04,-0.03,-0.02,-0.10
