Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-13.77,-26.64,-13.91,-9.66,-55.10
Depreciation/Depletion,4.24,4.75,6.33,7.37,8.83
Non-Cash Items,23.79,39.87,13.85,14.80,39.07
Cash Taxes Paid,7.78,0.74,0.31,0.18,0.41
Changes in Working Capital,-8.06,-3.70,-33.91,-28.40,10.83
Cash from Operating Activities,6.20,14.29,-27.65,-15.89,3.62
Capital Expenditures,-11.22,-11.25,-6.46,-5.27,-4.05
"Other Investing Cash Flow Items, Total",39.73,-16.52,-17.90,-4.59,1.84
Cash from Investing Activities,28.51,-27.76,-24.35,-9.86,-2.21
Total Cash Dividends Paid,-0.68,-0.59,-1.20,0.00,0
"Issuance (Retirement) of Stock, Net",0.26,0.03,0.00,0,0
Cash from Financing Activities,-23.54,5.34,6.19,16.62,19.25
Foreign Exchange Effects,0.14,0.12,0.49,-0.04,-0.07
Net Change in Cash,11.31,-8.02,-45.31,-9.17,20.60
