Fiscal Year,2012,2013,2014,2015,2016
Period Ended,31 Dec 2012,31 Dec 2013,31 Dec 2014,31 Dec 2015,31 Dec 2016
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,9.07,12.35,11.59,16.01,28.18
Depreciation/Depletion,23.83,26.67,33.12,31.96,36.79
Non-Cash Items,15.53,12.78,20.08,20.89,16.86
Cash Taxes Paid,4.16,1.38,0.18,4.11,7.34
Changes in Working Capital,-99.47,5.33,-50.32,47.03,-102.45
Cash from Operating Activities,-51.04,57.13,14.47,115.89,-19.88
Capital Expenditures,-83.20,-178.77,-129.35,-93.31,-43.91
"Other Investing Cash Flow Items, Total",-17.29,-3.15,-22.69,-40.51,-27.61
Cash from Investing Activities,-100.48,-181.92,-152.04,-133.82,-71.52
Total Cash Dividends Paid,-9.48,-6.25,-6.13,-5.78,-3.01
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,128.21,227.13,167.49,7.75,73.25
Foreign Exchange Effects,-0.26,1.19,3.89,0.43,1.72
Net Change in Cash,-23.57,103.53,33.80,-9.75,-16.43
