Fiscal Year,2012,2013,2014,2015,2016
Period Ended,31 Dec 2012,31 Dec 2013,31 Dec 2014,31 Dec 2015,31 Dec 2016
Source,ARS,ARS,ARS,ARS,ARS
Cash,113.40,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,113.40,216.94,250.74,240.98,224.55
"Accounts Receivable - Trade, Net",159.03,157.28,182.85,193.99,269.58
"Total Receivables, Net",173.81,181.27,203.15,223.11,299.17
Prepaid Expenses,0,0,0,28.13,16.62
"Other Current Assets, Total",39.70,28.48,85.49,21.21,35.37
Total Current Assets,472.19,557.07,656.24,638.87,833.32
"Property/Plant/Equipment, Total - Gross",547.62,735.51,889.70,1029.11,1208.19
"Accumulated Depreciation, Total",-81.30,-106.79,-139.78,-170.29,-205.65
"Property/Plant/Equipment, Total - Net",466.32,628.72,749.91,858.83,1002.54
"Goodwill, Net",0,0,0,0,13.38
"Intangibles, Net",0,0,0,0,11.79
Long Term Investments,41.26,40.33,43.19,46.70,52.58
Total Assets,1054.98,1299.39,1525.30,1617.40,2003.50
Accounts Payable,36.90,38.76,33.74,58.93,65.27
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,21.97,23.84,37.83,65.59,68.00
"Other Current liabilities, Total",17.24,24.49,57.51,69.38,85.71
Total Current Liabilities,283.27,361.06,461.64,623.67,807.83
Total Long Term Debt,97.96,264.53,441.82,362.81,375.19
Total Debt,327.10,562.34,812.21,858.16,1032.04
Deferred Income Tax,0.44,0.44,0.44,0.44,0.98
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,440.64,683.98,903.90,986.92,1184.00
"Common Stock, Total",449.14,449.14,449.14,449.14,569.15
Retained Earnings (Accumulated Deficit),166.05,169.69,169.05,175.13,249.21
Treasury Stock - Common,-0.52,-0.52,-0.52,-0.52,-0.52
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-0.33,-2.90,3.72,6.73,1.66
Total Equity,614.34,615.42,621.40,630.48,819.50
Total Liabilities & Shareholders' Equity,1054.98,1299.39,1525.30,1617.40,2003.50
Total Common Shares Outstanding,1218.62,1218.62,1218.62,1217.62,1679.62
"Tangible Book Value per Share, Common Eq",0.50,0.51,0.51,0.52,0.47
