Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,22.72,23.46,27.97,27.84,17.53
Total Revenue,22.72,23.46,27.97,27.84,17.53
"Selling/General/Admin. Expenses, Total",6.99,5.94,5.98,5.57,5.96
Depreciation/Amortisation,0.42,0.48,0.35,0.26,0.22
Unusual Expense (Income),0.00,0.00,0.00,0.80,-1.21
"Other Operating Expenses, Total",1.40,1.18,1.41,0.25,-2.58
Total Operating Expense,28.18,26.88,27.39,22.78,16.91
Operating Income,-5.46,-3.42,0.59,5.06,0.62
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.30,-0.42,-0.33,-0.16
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-5.46,-3.72,0.17,4.73,0.46
Provision for Income Taxes,-0.00,0.01,0.00,0.90,0.13
Net Income After Taxes,-5.46,-3.74,0.17,3.83,0.34
Net Income Before Extra. Items,-4.83,-2.59,0.97,4.66,0.98
Net Income,-4.83,-2.59,0.97,4.66,0.98
Income Available to Com Excl ExtraOrd,-4.83,-2.59,0.97,4.66,0.98
Income Available to Com Incl ExtraOrd,-4.83,-2.59,0.97,4.66,0.98
Diluted Net Income,-4.83,-2.59,0.97,4.66,0.98
Diluted Weighted Average Shares,141.20,141.20,141.20,141.20,141.20
Diluted EPS Excluding ExtraOrd Items,-0.03,-0.02,0.01,0.03,0.01
DPS - Common Stock Primary Issue,0,0,0.00,0.00,0.00
Diluted Normalised EPS,-0.03,-0.02,0.01,0.04,0.00
