Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-5.46,-3.72,0.17,4.73,0.46
Depreciation/Depletion,1.81,2.43,2.18,1.55,1.18
Non-Cash Items,1.21,0.76,1.68,0.57,-1.02
Cash Taxes Paid,0.01,0.01,0.00,0.00,0.67
Changes in Working Capital,3.28,3.04,0.18,7.66,-0.34
Cash from Operating Activities,0.84,2.51,4.21,14.51,0.28
Capital Expenditures,-5.16,-1.72,-1.93,-0.97,-0.31
"Other Investing Cash Flow Items, Total",0.05,0.01,0.11,0.01,6.50
Cash from Investing Activities,-5.11,-1.72,-1.82,-0.96,6.19
Total Cash Dividends Paid,0,0,0,0,-0.64
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-0.18,3.19,-3.79,-5.17,-2.14
Foreign Exchange Effects,0.05,-0.02,0.03,0.07,0.01
Net Change in Cash,-4.40,3.96,-1.38,8.44,4.34
