Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4.50,7.75,6.76,3.13,3.62
Depreciation/Depletion,1.80,5.36,5.64,5.83,6.13
Non-Cash Items,0.19,-6.58,-6.79,-4.13,-2.42
Cash Taxes Paid,0.56,0.79,0.70,0.05,0.04
Changes in Working Capital,-1.06,0.02,-0.93,2.69,2.18
Cash from Operating Activities,5.43,6.55,4.68,7.52,9.52
Capital Expenditures,-0.99,-1.71,-2.67,-7.06,-6.62
"Other Investing Cash Flow Items, Total",-1.74,0,0,0,0.03
Cash from Investing Activities,-2.73,-1.71,-2.67,-7.06,-6.59
Total Cash Dividends Paid,0.00,-1.73,-1.73,-1.73,-1.73
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,0.00,-0.98,-1.73,2.27,-0.68
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,2.70,3.86,0.27,2.72,2.24
