Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Aug 2016,31 Aug 2017,31 Aug 2018,31 Aug 2019,31 Aug 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,3.08,0.00,0
Cash and Short Term Investments,1.40,2.99,8.66,0.33,0.11
"Accounts Receivable - Trade, Net",16.58,16.42,22.41,3.76,3.20
"Total Receivables, Net",16.58,16.42,22.41,3.76,3.20
Prepaid Expenses,0.45,0.42,0.43,0.08,0.06
"Other Current Assets, Total",0.01,1.45,0.01,0.01,0.00
Total Current Assets,35.32,37.38,49.75,18.75,18.22
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",18.85,15.33,14.62,5.51,6.36
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",1.65,1.65,1.65,1.65,1.65
Long Term Investments,6.08,7.32,27.88,125.52,167.77
Total Assets,62.40,61.97,93.98,151.43,194.16
Accounts Payable,10.72,11.60,16.51,2.73,7.33
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,12.00,13.07,5.13,0.00
"Other Current liabilities, Total",0.58,0.40,0.34,0.01,0.06
Total Current Liabilities,26.73,24.98,30.96,8.15,12.97
Total Long Term Debt,4.89,2.62,2.71,1.80,6.46
Total Debt,20.31,15.60,16.82,7.21,12.04
Deferred Income Tax,0.63,0.58,3.00,11.71,15.67
"Other Liabilities, Total",0,0,0,11.43,6.97
Total Liabilities,38.02,34.99,43.64,33.09,42.07
"Common Stock, Total",26.70,26.70,26.70,26.70,26.70
Retained Earnings (Accumulated Deficit),-2.90,0.27,23.63,91.64,125.40
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.58,0,0,0,0
Total Equity,24.37,26.97,50.33,118.34,152.10
Total Liabilities & Shareholders' Equity,62.40,61.97,93.98,151.43,194.16
Total Common Shares Outstanding,29.91,29.91,29.91,29.91,29.91
"Tangible Book Value per Share, Common Eq",0.76,0.85,1.63,3.90,5.03
