Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Aug 2016,31 Aug 2017,31 Aug 2018,31 Aug 2019,31 Aug 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,53.49,53.21,18.01,15.40,12.57
Total Revenue,53.49,53.21,18.01,15.40,12.57
"Selling/General/Admin. Expenses, Total",9.37,9.26,5.89,10.96,9.38
Depreciation/Amortisation,0.98,0.98,0.34,0.32,0.09
Unusual Expense (Income),0.98,-0.24,-2.72,-0.01,-0.01
"Other Operating Expenses, Total",-0.78,-0.93,-0.67,-0.28,-1.74
Total Operating Expense,54.85,52.67,15.77,-68.39,-26.17
Operating Income,-1.36,0.54,2.24,83.79,38.74
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-1.36,0.54,2.24,83.79,38.74
Provision for Income Taxes,0.54,0.02,-0.01,9.06,4.08
Net Income After Taxes,-1.90,0.53,2.25,74.74,34.65
Net Income Before Extra. Items,-1.54,-0.18,1.66,74.64,34.65
Net Income,-1.54,-0.18,3.05,72.78,34.65
Income Available to Com Excl ExtraOrd,-1.54,-0.18,1.66,74.64,34.65
Income Available to Com Incl ExtraOrd,-1.54,-0.18,3.05,72.78,34.65
Diluted Net Income,-1.54,-0.18,3.05,72.78,34.65
Diluted Weighted Average Shares,29.91,29.91,29.91,29.91,29.91
Diluted EPS Excluding ExtraOrd Items,-0.05,-0.01,0.06,2.50,1.16
DPS - Common Stock Primary Issue,0,0,0.03,0.09,0.03
Diluted Normalised EPS,-0.03,-0.01,-0.00,2.50,1.16
