Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,9.24,9.68,21.06,21.86,9.58
Total Revenue,9.24,9.68,21.06,21.86,9.58
"Selling/General/Admin. Expenses, Total",2.04,2.49,2.65,10.56,8.11
Depreciation/Amortisation,0.16,0.25,0.16,0.18,0.26
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",-0.05,-0.01,-0.02,-0.01,-17.35
Total Operating Expense,6.36,7.79,11.51,19.36,-0.10
Operating Income,2.89,1.90,9.55,2.50,9.68
"Interest Inc.(Exp.),Net-Non-Op., Total",0.00,-0.19,-1.54,-0.40,-1.40
"Other, Net",0,0,0,0,-0.02
Net Income Before Taxes,2.89,1.71,8.01,2.11,8.25
Provision for Income Taxes,0.31,0.42,2.11,1.88,-0.21
Net Income After Taxes,2.57,1.29,5.90,0.23,8.46
Net Income Before Extra. Items,2.57,1.29,5.90,0.23,8.46
Net Income,2.57,1.29,5.90,0.23,8.46
Income Available to Com Excl ExtraOrd,2.57,1.29,5.90,0.23,8.46
Income Available to Com Incl ExtraOrd,2.57,1.29,5.90,0.23,8.46
Diluted Net Income,2.57,1.29,5.90,0.23,8.46
Diluted Weighted Average Shares,112.21,107.29,107.29,129.76,142.05
Diluted EPS Excluding ExtraOrd Items,0.02,0.01,0.06,0.00,0.06
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.02,0.01,0.06,0.00,0.06
